AS Grade,UCAS
A*,60
A,60
B,50
C,40
D,30
E,20
U,0
AA,60
AB,55
BB,50
BC,45
CC,40
CD,35
DD,30
DE,25
EE,20
U,0
X,0
UU,0
XX,0
