,Count,A,A-B,A-C,A-D,A-E
A*,1,1,1,1,1,1
A,1,1,1,1,1,1
B,1,0,1,1,1,1
C,1,0,0,1,1,1
D,1,0,0,0,1,1
E,1,0,0,0,0,1
U,1,0,0,0,0,0
AA,1,1,1,1,1,1
AB,1,0.5,1,1,1,1
BB,1,0,1,1,1,1
BC,1,0,0.5,1,1,1
CC,1,0,0,1,1,1
CD,1,0,0,0.5,1,1
DD,1,0,0,0,1,1
DE,1,0,0,0,0.5,1
EE,1,0,0,0,0,1
X,0,0,0,0,0,0
XX,0,0,0,0,0,0
