A2 Grade,UCAS
A*,140
A,120
B,100
C,80
D,60
E,40
U,0
A*A*,140
A*A,130
AA,120
AB,110
BB,100
BC,90
CC,80
CD,70
DD,60
DE,50
EE,40
U,0
X,0
UU,0
XX,0
